500	Péruwelz	50.50819	3.59373	749
501	Perwez	50.62426	4.81354	0
502	Petit-Rœulx			0
503	Piétremau	50.73333	4.93333	0
504	Pijnacker	52.01954	4.42946	748
505	Pilsen	49.74747	13.37759	732
506	Pittem	50.99279	3.26317	749
507	Pondrôme	50.09922	5.00959	749
508	Poperinge	50.85386	2.72659	749
509	Porst	51.7692	12.0028	724
510	Putscheid	49.96083	6.14306	395
511	Putte	51.3506	4.3978	749
512	Puurs	51.07409	4.28844	749
513	Quaregnon	50.44067	3.8653	749
514	Quévy-le-Grand	50.36074	3.9489	749
515	Quevy-le-Petit	50.36879	3.93602	749
516	Raatshoven	50.73924	5.02806	749
517	Ramegnies	50.5442	3.63476	749
518	Ramillies	50.63333	4.9	749
519	Ramsdonk	51.015	4.33522	748
520	Ransart	50.209166666667	2.6858333333333	725
521	Ransdorp	52.39325	4.99406	748
522	Reck	51.9	6.98333	724
523	Recklinghausen	51.61666666666667	7.2	724
524	Reet			0
525	Reims	49.26526	4.02853	725
526	Reningelst	50.81514	2.77066	749
527	Rièzes	49.95948	4.36874	749
528	Rijmenam	51.0016	4.58405	749
529	Rijsel	51.17931	3.92505	725
530	Rillaar	50.97376	4.89177	749
531	Roermond	51.19417	5.9875	748
532	Roeselare	50.944722222222	3.1233333333333	749
533	Ronse	50.75	3.6	749
534	Roosendaal	51.5314	4.4556	748
535	Roosteren	51.08333	5.81806	748
536	Roth-Vianden			395
537	Rotterdam	51.9225	4.47917	0
538	Rouillon			0
539	Roumont	50.0708	5.5594	749
540	Rouveroy			0
541	Roux-Miroir	50.70863	4.78266	749
542	Roy			749
543	Ruisbroek			0
544	Rumbeke	50.93248	3.16716	749
545	s-Gravenbrakel	50.60979	4.14658	0
546	's-Hertogenbosch	51.69917	5.30417	748
547	Saint-Denis			0
548	Saint-Germain			0
549	Saint-Ghislain	50.44816	3.81886	749
550	Saint-Hubert			749
551	Saint-Léger	49.783333333333	6.0666666666667	395
552	Sart	50.2653	5.8442	0
553	Sartes	48.24591	5.67577	725
554	Escanaffles	50.75743	3.45294	0
555	Schellebelle	51.01136	3.92843	749
556	Schiedam	51.91917	4.38889	748
557	Selny			0
558	Sevigny-La-Foret	49.8864	4.49161	725
559	Seyssel	45.958888888889	5.8363888888889	725
560	Sinaai	51.15789	4.04087	0
561	Sint-Gillis	50.82763	4.34389	0
562	Sint-Gillis-Waas	51.21914	4.12374	749
