253	Halleux	50.486547222222	5.6229583333333	749		import from Matrikels2-0_PublicationVersion_20230816
254	Halloy	50.309486111111	5.0717888888889	749		import from Matrikels2-0_PublicationVersion_20230816
255	Halsteren	51.52834	4.26785	748		import from Matrikels2-0_PublicationVersion_20230816
256	Hamont	51.25332	5.54732	749		import from Matrikels2-0_PublicationVersion_20230816
257	Hannuit	50.67142	5.07898	749		import from Matrikels2-0_PublicationVersion_20230816
258	Harelbeke	50.85343	3.30935	749		import from Matrikels2-0_PublicationVersion_20230816
259	Hasleto-Leodius			0		import from Matrikels2-0_PublicationVersion_20230816
260	Hasselt	51.13975	5.64457	749		import from Matrikels2-0_PublicationVersion_20230816
261	Hastenbeck	52.07908	9.41872	724		import from Matrikels2-0_PublicationVersion_20230816
262	Hautheren			0		import from Matrikels2-0_PublicationVersion_20230816
263	Havay	50.36118	3.98366	749		import from Matrikels2-0_PublicationVersion_20230816
264	Havinnes	50.61658	3.46341	749		import from Matrikels2-0_PublicationVersion_20230816
265	Hazebrouck	50.72374	2.53729	725		import from Matrikels2-0_PublicationVersion_20230816
266	Heikruis	50.73506	4.1116	749		import from Matrikels2-0_PublicationVersion_20230816
267	Heist	51.33867	3.23882	0		import from Matrikels2-0_PublicationVersion_20230816
268	Heist-op-den-Berg	51.07537	4.72827	749		import from Matrikels2-0_PublicationVersion_20230816
269	Heks	50.76952	5.35806	749		import from Matrikels2-0_PublicationVersion_20230816
270	Helchteren	51.05591	5.38244	749		import from Matrikels2-0_PublicationVersion_20230816
271	Helmond	51.48167	5.66111	0		import from Matrikels2-0_PublicationVersion_20230816
272	Hendrik-Kapelle	50.67688	5.93009	749		import from Matrikels2-0_PublicationVersion_20230816
273	Hengelo			0		import from Matrikels2-0_PublicationVersion_20230816
274	Heppignies	50.4846	4.4953	749		import from Matrikels2-0_PublicationVersion_20230816
275	Herchies	50.517	3.85	749		import from Matrikels2-0_PublicationVersion_20230816
276	Herent	51.202778	5.448333	749		import from Matrikels2-0_PublicationVersion_20230816
277	Herentals	51.17655	4.83248	749		import from Matrikels2-0_PublicationVersion_20230816
278	Herenthout	51.1401	4.75572	749		import from Matrikels2-0_PublicationVersion_20230816
